X,Y,objectid,num_est,cod_nodo,nom_est,id_trazado,num_vag,long_est,ancho_est,area_est,cap_biart,cap_art,observac,esta_oper,eta_oper,tipo_esta,ub_est,num_acc,acc_esp,acc_depr,acc_puent,globalid
1000325.4654,1007757.54,312,07103,7103,AV. Chile,TZ008,3,173.64,0,0,120,224,Valores de capacidad de buses en proceso de actualización,1,1,4,KR 30 - CL 72,2,0,0,2,{721ABB2A-A2D0-4659-8E0B-C5C055A3854A}
997606.081,1005601.7797,313,06103,6103,CAN,TZ016,2,96.48,0,0,120,140,Valores de capacidad de buses en proceso de actualización,1,1,4,KR 60,1,0,0,1,{E995AAF3-1F08-40C4-9E3B-BBF49281D691}
999864.9332,1005440.3208,314,07106,7106,Campín - UAN,TZ008,2,122.82,0,0,120,152,Valores de capacidad de buses en proceso de actualización,1,1,4,KR 30 - CL 53,2,0,0,2,{4FA3BFB4-335F-4EF9-A3C5-CCC4712FC613}
1000666.6399,1001625.4027,315,10008,10008,San Diego,TZ018,2,348.09,0,0,144,144,Valores de capacidad de buses en proceso de actualización,1,1,4,KR 10 - CL 23,2,1,1,0,{FB4221B2-63A0-4D93-AC97-6C4E234D4EBF}
997945.7955,1011382.8595,316,04100,4100,Granja - Kr 77,TZ005,4,385,0,0,144,248,Valores de capacidad de buses en proceso de actualización,1,1,2,KR 77 Bis,2,1,0,1,{326A5C05-93FB-47DF-A1EC-F1F00A1534D4}
998184.8882,1001712.1938,317,07111,7111,Ricaurte - NQS,TZ008,3,187.96,0,0,168,224,Valores de capacidad de buses en proceso de actualización,1,1,3,KR 30 - CL 10,2,0,1,1,{57D89434-FE33-4D88-B0B1-4884BEAA7C8E}
996534.4501,1012221.0122,318,04001,4001,Quirigua,TZ005,1,45.75,0,0,72,80,Valores de capacidad de buses en proceso de actualización,1,1,4,KR 94,1,0,0,1,{35A696C2-E7D9-450E-B0F9-F1A98416CCF8}
1001449.5663,1010037.2708,319,03011,3011,Suba - Calle 100,TZ003,2,89.39,0,0,144,160,Valores de capacidad de buses en proceso de actualización,1,1,4,AV Suba - CL 100,1,1,0,0,{D7267FCD-829D-421B-BC5A-B027A3B3FA1C}
1000688.2377,1008177.5724,320,07102,7102,Calle 75 - Zona M,TZ008,2,115.81,0,0,120,152,Valores de capacidad de buses en proceso de actualización,1,1,4,KR 30 - CL 75A,1,0,0,1,{B478C229-2E18-4E82-B7E1-B3EA41939179}
998932.2282,1010807.3933,321,04102,4102,AV. Boyacá,TZ005,2,168.15,0,0,144,160,Valores de capacidad de buses en proceso de actualización,1,1,4,TV 69 Bis,1,0,0,1,{94B07056-B771-4877-BC60-6981022489AB}
995275.9857,997743.587200001,322,09100,9100,Calle 40 Sur,TZ012,3,179.92,0,0,168,224,Valores de capacidad de buses en proceso de actualización,1,1,2,CL 38 Sur - CL 40 Sur,2,2,0,0,{EF0CE9E7-F048-4E52-8FC4-2E4D3CD7056B}
993706.7968,1003750.885,323,05102,5102,AV. Américas - AV. Boyacá,TZ009,2,115.715,0,0,120,152,Valores de capacidad de buses en proceso de actualización,1,1,4,AV Americas - KR 71,1,0,0,1,{DDCAF7A8-99DB-4E1E-B724-02E17ECA83A9}
994157.3658,1003702.1316,324,05103,5103,Marsella,TZ009,3,173.715,0,0,120,200,Valores de capacidad de buses en proceso de actualización,1,1,4,AV Americas - KR 69C,1,0,0,1,{66B403F7-EAFA-40F5-B790-9B79E3490D23}
1000575.5604,1012804.9818,325,03006,3006,Niza - Calle 127,TZ003,2,93.56,0,0,72,128,Valores de capacidad de buses en proceso de actualización,1,1,4,AV Suba - CL 127,2,2,0,0,{F9F3B752-F8FD-442E-935E-6E6C87F45E17}
998479.0932,1016194.1087,326,03001,3001,La Campiña,TZ003,3,89.31,0,0,144,208,Valores de capacidad de buses en proceso de actualización,1,2,4,AV Suba - KR 98A,1,1,0,0,{6EC7EBCB-D442-4704-A684-E02B5AD785CE}
991726.9786,1004201.8933,327,05005,5005,Transversal 86,TZ009,2,115.71,0,0,96,144,Valores de capacidad de buses en proceso de actualización,1,1,4,AV Americas - TV 86,1,0,0,1,{E1091760-B7F6-42FB-8D7F-DD30FF981C26}
998646.9089,1004212.2056,328,06106,6106,Corferias,TZ016,2,106.07,0,0,120,132,Valores de capacidad de buses en proceso de actualización,1,1,4,KR 43,1,1,0,0,{80BD19DC-50C9-4B56-AA78-D722B8ABF8FA}
998066.4518,1000881.423,329,07201,7201,Guatoque - Veraguas,TZ007,2,103.8,0,0,108,132,Valores de capacidad de buses en proceso de actualización,1,1,4,KR 27,1,1,0,0,{B61BFFD3-E2C7-464E-964C-CB52C55D3C01}
998173.9276,1002202.6847,330,12002,12002,CDS - Carrera 32,TZ009,2,96.43,0,0,48,120,Valores de capacidad de buses en proceso de actualización,1,1,4,AV Americas - KR 32,2,2,0,0,{501615D6-1843-4A92-B0C2-CC2A7A962AEC}
999330.5956,1003833.9042,331,06107,6107,Ciudad Universitaria - Lotería de Bogotá,TZ016,2,130.67,0,0,120,140,Valores de capacidad de buses en proceso de actualización,1,1,4,KR 34,2,1,0,1,{63C33998-29CA-4B81-8226-3BDAFA1AE885}
999796.6191,1004524.9414,332,07107,7107,Universidad Nacional,TZ008,3,188.03,0,0,180,232,Valores de capacidad de buses en proceso de actualización,1,1,4,KR 30 - CL 45,2,0,0,2,{7E37631F-CB95-45B3-8593-4C7BED0193F2}
996531.1357,1007270.1501,333,06100,6100,Avenida Rojas - UNISALESIANA,TZ016,3,177.17,0,0,120,200,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 26 - KR 69 D,1,0,0,1,{98B9751A-DC63-431F-8247-5B85C83FB1F2}
999298.0075,1000212.7715,334,09109,9109,Tercer Milenio,TZ001,3,184,0,0,120,200,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 8 - CL 6,2,2,0,0,{0CE54847-2AF4-4B71-BD96-AB8EF64259A7}
999688.0368,1003290.5563,335,06108,6108,Concejo de Bogotá,TZ016,2,122.88,0,0,120,140,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 38,1,1,0,0,{05373FBD-799D-4D22-973A-D47138C62A48}
994868.3176,999734.0277,336,07007,7007,NQS - Calle 38A S,TZ010,2,153.95,0,0,72,140,Valores de capacidad de buses en proceso de actualización,1,1,4,Autosur - KR 39A,1,0,0,1,{4885316E-1E71-4686-B5E0-3D9DA4A4594F}
999980.1899,1006755.9617,337,07104,7104,7 de Agosto,TZ008,2,123.23,0,0,120,140,Valores de capacidad de buses en proceso de actualización,1,1,4,KR 30 - CL 63,1,0,0,1,{C5C7532C-058A-46EA-BC85-474FBDF2BF84}
999635.8096,1009939.5158,338,04104,4104,AV. 68,TZ005,2,144,0,0,144,152,Valores de capacidad de buses en proceso de actualización,1,1,4,KR 68D,1,0,0,1,{5D749FF0-0271-4546-8E31-55261CA2DDE7}
996218.9404,1003499.9527,339,05107,5107,Distrito Grafiti,TZ009,2,115.715,0,0,120,152,Valores de capacidad de buses en proceso de actualización,1,1,4,Americas - KR 53A,1,0,0,1,{808A35F9-A361-4432-BB18-01689E0ECC21}
1001461.1601,1008178.87,340,04108,4108,Polo - FINCOMERCIO,TZ005,3,220,0,0,168,192,Valores de capacidad de buses en proceso de actualización,1,1,4,TV 27,1,0,0,1,{04214049-7F37-49B9-8A9E-42CBBCE74EED}
998751.2769,1000396.6416,341,07200,7200,Tygua - San José,TZ007,2,121.67,0,0,96,132,Valores de capacidad de buses en proceso de actualización,1,1,4,KR 18,2,2,0,0,{01CD1CBD-9EDE-43B8-862C-4DB30B6DD8D4}
998266.3619,1004567.3779,342,06105,6105,Quinta Paredes,TZ016,2,96.49,0,0,120,140,Valores de capacidad de buses en proceso de actualización,1,1,4,KR 47,1,0,0,1,{FBBE1210-7EEB-4DBA-A06E-FD10268FB202}
997316.3881,1006041.7866,343,06102,6102,Salitre - El Greco,TZ016,2,96.48,0,0,120,140,Valores de capacidad de buses en proceso de actualización,1,2,4,KR 66,1,0,0,1,{30E182A1-C9EB-4E65-A0F9-87892FA8A22E}
997650.0646,1002667.7948,344,12007,12007,Zona Industrial,TZ009,2,96.29,0,0,48,120,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 13 - KR 38,2,2,0,0,{C19C925C-1C0C-40C0-BB44-E737B48156A3}
987169.4532,999555.658299999,345,07505,7505,León XIII,TZ011,2,89.5,0,0,72,152,Valores de capacidad de buses en proceso de actualización,1,1,4,Soacha,1,0,0,1,{9D05F215-F1DD-4AF5-BE12-F8A5E802143A}
998664.7294,1002290.5504,346,07110,7110,Paloquemao,TZ008,2,122.85,0,0,120,152,Valores de capacidad de buses en proceso de actualización,1,1,4,KR 30 - CL 19,1,0,0,1,{36BD0582-B64C-4621-906B-0E7F70B73F55}
996997.3562,1011993.7417,347,04002,4002,Carrera 90,TZ005,2,142.15,0,0,144,160,Valores de capacidad de buses en proceso de actualización,1,1,4,KR 90,1,0,0,1,{80C05303-BE27-4215-BFAD-F44EB6301C66}
997888.518,1005156.3994,348,06104,6104,Gobernación,TZ016,2,96.49,0,0,120,140,Valores de capacidad de buses en proceso de actualización,1,1,4,KR 54,1,0,0,1,{05F87C81-8109-4A99-9B78-F7B527B3EF4D}
986460.6276,999200.7971,349,07504,7504,Terreros - Hospital Cardio Vascular,TZ011,3,89.5,0,0,144,212,Valores de capacidad de buses en proceso de actualización,1,1,4,Soacha,1,0,0,1,{D9840B6F-31C0-4D33-B708-9683CCC65BF8}
1000853.4994,1008770.8556,350,04107,4107,Escuela Militar,TZ005,2,122,0,0,120,152,Valores de capacidad de buses en proceso de actualización,1,1,4,KR 40,1,0,0,1,{B0B83729-15A7-4601-91D3-CB6EA215104B}
992921.9267,1003833.4299,351,05101,5101,Mandalay,TZ009,2,115.705,0,0,96,144,Valores de capacidad de buses en proceso de actualización,1,1,4,AV Americas KR 73,1,0,0,1,{62985140-4A0D-4836-B385-97DFA40DF999}
997472.4294,1011752.9198,352,04003,4003,AV. Cali,TZ005,2,142.15,0,0,144,160,Valores de capacidad de buses en proceso de actualización,1,1,2,KR 86,1,0,0,1,{C71A9BFC-0C6B-4E96-9279-51E4329653A8}
998893.3613,1015834.3902,353,03002,3002,Suba - TV. 91,TZ003,4,273.89,0,0,96,168,Valores de capacidad de buses en proceso de actualización,1,1,4,AV Suba KR 90,2,1,0,1,{432F2761-2294-4225-9601-DC9D09A0848A}
998559.0833,1001857.6982,354,12003,12003,Ricaurte - CL 13,TZ009,6,184.2,0,0,120,192,Valores de capacidad de buses en proceso de actualización,1,1,3,CL 13 - KR 28,2,1,1,0,{638AB824-C6F6-4A92-A78C-609F76A59269}
997345.5945,998413.051100001,355,09104,9104,Restrepo,TZ012,2,120.17,0,0,72,128,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 19 Sur - AV 1 De M,2,2,0,0,{28AF1EB5-E2C1-49EB-B98B-B76D95965E54}
1002768.045,1013088.2665,356,02201,2201,Prado,TZ002,3,148,0,0,72,176,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 128 B,1,0,0,1,{EE93D9BE-CBC7-4042-8128-EE40029B06BF}
1003764.6779,1019088.519,357,02502,2502,Terminal,TZ002,1,48.79,0,0,72,80,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 190,1,0,0,1,{3FCCF1C2-3F9C-40C6-83FC-9A081421E2B1}
1002049.5867,1008824.1398,358,02302,2302,Virrey,TZ002,3,193.28,0,0,144,208,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 90,1,0,0,1,{06D47C1B-7666-4132-8575-EDE68BEE6904}
1003353.2911,1016586.1918,359,02101,2101,Toberin - Foundever,TZ002,5,335,0,0,216,336,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 165,1,0,0,1,{13B9E9FE-D465-48E0-8CB7-FDC8469CD4AE}
1002462.9467,1011271.228,360,02204,2204,Pepe Sierra,TZ002,2,104.62,0,0,72,128,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 116,1,0,0,1,{03F6147D-9C25-43E1-8D86-BF81C1095625}
1002196.3278,1009703.4531,361,02300,2300,Calle 100 - Marketmedios,TZ002,3,203.61,0,0,168,224,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 97,2,0,0,2,{D90DAB0A-FC99-4299-B243-4F366AB041E7}
1002995.089,1014447.6701,362,02105,2105,Calle 142,TZ002,4,221.09,0,0,48,132,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 142,1,0,0,1,{FFB0B3BF-D217-49FB-922D-2015A236AD2E}
1003490.5027,1017518.6953,363,02000,2000,Portal Norte,TZ002,1,365.66,0,0,78,132,Valores de capacidad de buses en proceso de actualización,1,1,1,CL 173,1,0,0,1,{1B7B90FA-7DA7-4F59-8DCE-CAFF38C5E0B8}
1003668.0639,1018482.2801,364,02001,2001,Calle 187,TZ002,1,40.9,0,0,72,80,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 184,1,0,0,1,{59491EEA-B585-4878-BC88-B0CAFC47FF16}
1002889.961,1013818.0856,365,02200,2200,Alcalá – Colegio S. Tomás Dominicos,TZ002,3,205.19,0,0,168,224,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 137,2,0,0,2,{0BB31CAA-F314-4720-9A1B-BD9AE6FDB1AA}
1003071.1625,1014894.6972,366,02104,2104,Calle 146,TZ002,3,86.3,0,0,72,176,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 146,1,0,0,1,{BBB7421F-3F03-4D08-BB64-D10FFADF8738}
