u,v,weight
7103,7102,1
7102,7101,1
7103,7104,1
7104,7105,1
7105,7106,1
7106,7107,1
7107,7108,1
7108,7109,1
7109,7110,1
7110,7111,1
7111,7112,1
7112,7113,1
7113,7200,87
7200,7201,1
7101,7010,91
7010,7009,1
7009,7008,1
7008,7007,1
7007,7006,1
7006,7005,1
7005,7004,1
7004,7003,1
7003,7002,1
7002,7001,1
7001,7000,1
7201,7503,302
7503,7504,1
7504,7505,1
7505,7506,1
7506,8000,494
8000,8001,1
8001,8002,1
7000,6111,889
6111,6109,2
6109,6108,1
6108,6107,1
6107,6106,1
6106,6105,1
6105,6104,1
6104,6103,1
6103,6102,1
6102,6101,1
6101,6100,1
6100,6002,98
6002,6001,1
6001,6000,1
6000,5107,893
5107,5105,2
5105,5103,2
5103,5102,1
5102,5101,1
5101,5100,1
5100,5005,95
5005,5002,3
5002,5001,1
5001,5000,1
5000,4108,892
4108,4107,1
4107,4106,1
4106,4105,1
4105,4104,1
4104,4103,1
4103,4102,1
4102,4101,1
4101,4100,1
4100,4003,97
4003,4002,1
4002,4001,1
4001,4000,1
4000,3014,986
3014,3013,1
3013,3012,1
3012,3011,1
3011,3010,1
3010,3009,1
3009,3007,2
3007,3006,1
3006,3005,1
3005,3004,1
3004,3003,1
3003,3002,1
3002,3001,1
3001,3000,1
3000,2502,498
2502,2304,198
2304,2303,1
2303,2302,1
2302,2300,2
2300,2205,95
2205,2204,1
2204,2202,2
2202,2201,1
2201,2200,1
2200,2105,95
2105,2104,1
2104,2103,1
2103,2102,1
2102,2101,1
2101,2001,100
2001,2000,1
8002,9000,998
9000,9001,1
9001,9002,1
9002,9003,1
9003,9004,1
9004,9100,96
9100,9101,1
9101,9103,2
9103,9104,1
9104,9105,1
9105,9106,1
9106,9107,1
9107,9108,1
9108,9109,1
9109,9110,1
9110,9111,1
9111,9113,2
9113,9114,1
9114,9115,1
9115,9116,1
9116,9117,1
9117,9118,1
9118,9119,1
9119,9120,1
9120,9121,1
9121,9122,1
9122,9123,1
9123,10000,877
10000,10001,1
10001,10002,1
10002,10003,1
10003,10004,1
10004,10005,1
10005,10006,1
10006,10007,1
10007,10008,1
10008,10009,1
10009,10010,1
10010,12000,1990
12000,12001,1
12001,12002,1
12002,12003,1
12003,12004,1
12004,12007,3
12007,14001,1994
14001,14003,2
14003,14004,1
14004,14005,1
