code,name,cap,load
7103,AV. Chile,224,81
6103,CAN,140,127
7106,Campín - UAN,152,81
10008,San Diego,144,46
4100,Granja - Kr 77,248,80
7111,Ricaurte - NQS,224,69
4001,Quirigua,80,80
3011,Suba - Calle 100,160,81
7102,Calle 75 - Zona M,152,82
4102,AV. Boyacá,160,80
9100,Calle 40 Sur,224,29
5102,AV. Américas - AV. Boyacá,152,90
5103,Marsella,200,93
3006,Niza - Calle 127,128,96
3001,La Campiña,208,79
5005,Transversal 86,144,78
6106,Corferias,132,132
7201,Guatoque - Veraguas,132,70
12002,CDS - Carrera 32,120,55
6107,Ciudad Universitaria - Lotería de Bogotá,140,132
7107,Universidad Nacional,232,81
6100,Avenida Rojas - UNISALESIANA,200,109
9109,Tercer Milenio,200,26
6108,Concejo de Bogotá,140,132
7007,NQS - Calle 38A S,140,94
7104,7 de Agosto,140,90
4104,AV. 68,152,83
5107,Distrito Grafiti,152,102
4108,Polo - FINCOMERCIO,192,80
7200,Tygua - San José,132,86
6105,Quinta Paredes,140,132
6102,Salitre - El Greco,140,122
12007,Zona Industrial,120,0
7505,León XIII,152,36
7110,Paloquemao,152,69
4002,Carrera 90,160,80
6104,Gobernación,140,132
7504,Terreros - Hospital Cardio Vascular,212,36
4107,Escuela Militar,152,80
5101,Mandalay,144,78
4003,AV. Cali,160,80
3002,Suba - TV. 91,168,96
12003,Ricaurte - CL 13,192,36
9104,Restrepo,128,36
2201,Prado,176,36
2502,Terminal,80,79
2302,Virrey,208,60
2101,Toberin - Foundever,336,0
2204,Pepe Sierra,128,53
2300,Calle 100 - Marketmedios,224,52
2105,Calle 142,132,36
2000,Portal Norte,132,0
2001,Calle 187,80,0
2200,Alcalá – Colegio S. Tomás Dominicos,224,36
2104,Calle 146,176,23
2202,Calle 127,128,53
2304,Héroes,168,79
2102,Calle 161,96,6
2205,Calle 106 - Explora maletas,128,53
2103,Mazurén,176,6
9117,Calle 45 - American School Way,200,0
4105,Carrera 53,80,80
7101,La Castellana,160,87
10002,AV. 1 Mayo,216,25
14001,De La Sabana,120,0
7506,La Despensa,152,36
9122,Calle 72,0,0
6109,Centro Memoria,140,140
12001,Carrera 43 - Comapan,120,60
9002,Consuelo,120,25
9110,AV. Jiménez - Caracas,192,26
7112,Comuneros,144,78
9113,Calle 22,200,0
6101,El Tiempo – Cámara de Comercio de Bogotá,120,109
5002,Biblioteca Tintal,160,78
10003,Ciudad Jardín - UAN,144,30
10005,Bicentenario,216,27
9119,Calle 57,200,0
8002,Biblioteca,36,23
7108,AV. ElDorado,140,69
9114,Calle 26,0,0
7005,Alquería,132,94
7010,Bosa,152,87
7109,CAD,152,69
5100,Banderas,320,78
9111,Calle 19,200,11
14003,AV. Jiménez - CL 13,152,0
7105,Movistar Arena,152,90
9116,AV. 39,192,0
9123,Calle 76 - San Felipe,200,0
9120,Calle 63,0,0
2303,Calle 85,200,60
7008,NQS - Calle 30 S,160,94
10001,Country Sur,144,3
4106,Carrera 47,160,80
4000,Portal 80,110,71
9103,Olaya,176,33
9001,Molinos,160,23
9106,Nariño,96,26
3004,Gratamira,96,96
5105,Pradera - Plaza Central,128,93
10007,Las Nieves,144,46
6001,Modelia,140,109
6000,Portal El Dorado,132,102
9121,Flores – Areandina,120,0
14004,Museo del Oro,72,0
7006,General Santander,212,94
10000,Portal 20 de Julio,220,0
3007,Humedal Córdoba,108,106
8001,Parque,36,36
10004,Policarpa,144,30
10009,Museo Nacional,144,46
9108,Hospital,96,26
6002,Normandía,140,109
7001,Perdomo,128,95
9107,Hortúa,120,26
9000,Portal Usme,132,23
4103,Ferias,80,80
9118,Marly,0,0
5001,Patio Bonito,160,71
8000,Portal Tunal,88,36
9105,Fucha,96,29
4101,Minuto de Dios,152,80
5000,Portal Américas,198,71
14005,Las Aguas - Centro Colombo Americano,72,0
3000,Portal Suba,176,79
3005,Suba - AV. Boyacá,96,96
9004,Santa Lucía,152,29
3014,San Martín,132,71
6111,Universidades – CityU,140,120
7113,Santa Isabel,144,86
3012,Suba - Calle 95,96,81
12000,Puente Aranda,120,41
9101,Quiroga,96,44
3010,Puentelargo,128,81
10006,San Victorino,216,46
7002,CC Paseo Villa del Río - Madelena,132,83
7503,San Mateo - CC Unisur,232,54
7003,Sevillana,132,88
3013,Rionegro,96,84
3009,Suba - Calle 116,128,81
10010,San Bernardo,144,46
7009,SENA,160,87
12004,San Facon Carrera 22,152,36
9003,Socorro,128,29
3003,21 Ángeles,96,96
9115,Calle 34,200,0
7004,Venecia,132,94
7000,Portal Sur - JFK Coop. Financiera,132,90
